Player,Opposition,Ground,Inns,Overs,Wkts
Asif Ali,v South Africa,Lahore,1,DNB,-
Mohammad Rizwan,v South Africa,Lahore,1,DNB,-
Hussain Talat,v South Africa,Lahore,1,DNB,-
Babar Azam,v South Africa,Lahore,1,DNB,-
Haider Ali,v South Africa,Johannesburg,1,DNB,-
Fakhar Zaman,v South Africa,Johannesburg,1,DNB,-
Mohammad Hafeez,v South Africa,Johannesburg,1,DNB,-
Mohammad Rizwan,v South Africa,Johannesburg,1,DNB,-
Babar Azam,v South Africa,Johannesburg,1,DNB,-
Haider Ali,v South Africa,Johannesburg,2,DNB,-
Mohammad Hafeez,v South Africa,Johannesburg,2,DNB,-
Sharjeel Khan,v South Africa,Johannesburg,2,DNB,-
Mohammad Rizwan,v South Africa,Johannesburg,2,DNB,-
Babar Azam,v South Africa,Johannesburg,2,DNB,-
Asif Ali,v South Africa,Centurion,1,DNB,-
Haider Ali,v South Africa,Centurion,1,DNB,-
Fakhar Zaman,v South Africa,Centurion,1,DNB,-
Mohammad Hafeez,v South Africa,Centurion,1,DNB,-
Mohammad Rizwan,v South Africa,Centurion,1,DNB,-
Babar Azam,v South Africa,Centurion,1,DNB,-
Asif Ali,v South Africa,Centurion,1,DNB,-
Haider Ali,v South Africa,Centurion,1,DNB,-
Fakhar Zaman,v South Africa,Centurion,1,DNB,-
Mohammad Hafeez,v South Africa,Centurion,1,DNB,-
Mohammad Rizwan,v South Africa,Centurion,1,DNB,-
Babar Azam,v South Africa,Centurion,1,DNB,-
Haider Ali,v Zimbabwe,Harare,2,DNB,-
Fakhar Zaman,v Zimbabwe,Harare,2,DNB,-
Mohammad Rizwan,v Zimbabwe,Harare,2,DNB,-
Danish Aziz,v Zimbabwe,Harare,2,DNB,-
Babar Azam,v Zimbabwe,Harare,2,DNB,-
Asif Ali,v Zimbabwe,Harare,1,DNB,-
Fakhar Zaman,v Zimbabwe,Harare,1,DNB,-
Mohammad Hafeez,v Zimbabwe,Harare,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Harare,1,DNB,-
Babar Azam,v Zimbabwe,Harare,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Harare,2,DNB,-
Babar Azam,v Zimbabwe,Harare,2,DNB,-
Fakhar Zaman,v Zimbabwe,Harare,2,DNB,-
Sarfaraz Ahmed,v Zimbabwe,Harare,2,DNB,-
Sharjeel Khan,v Zimbabwe,Harare,2,DNB,-
Azam Khan,v England,Nottingham,2,DNB,-
Mohammad Rizwan,v England,Nottingham,2,DNB,-
Babar Azam,v England,Nottingham,2,DNB,-
Fakhar Zaman,v England,Nottingham,2,DNB,-
Mohammad Hafeez,v England,Nottingham,2,DNB,-
Sohaib Maqsood,v England,Nottingham,2,DNB,-
Azam Khan,v England,Leeds,1,DNB,-
Mohammad Rizwan,v England,Leeds,1,DNB,-
Babar Azam,v England,Leeds,1,DNB,-
Fakhar Zaman,v England,Leeds,1,DNB,-
Mohammad Hafeez,v England,Leeds,1,DNB,-
Sohaib Maqsood,v England,Leeds,1,DNB,-
Mohammad Rizwan,v England,Manchester,2,DNB,-
Babar Azam,v England,Manchester,2,DNB,-
Mohammad Hasnain,v England,Manchester,2,DNB,-
Fakhar Zaman,v England,Manchester,2,DNB,-
Sohaib Maqsood,v England,Manchester,2,DNB,-
Mohammad Rizwan,v West Indies,Bridgetown,1,DNB,-
Babar Azam,v West Indies,Bridgetown,1,DNB,-
Azam Khan,v West Indies,Bridgetown,1,DNB,-
Fakhar Zaman,v West Indies,Bridgetown,1,DNB,-
Sharjeel Khan,v West Indies,Bridgetown,1,DNB,-
Sohaib Maqsood,v West Indies,Providence,2,DNB,-
Sharjeel Khan,v West Indies,Providence,2,DNB,-
Mohammad Rizwan,v West Indies,Providence,2,DNB,-
Babar Azam,v West Indies,Providence,2,DNB,-
Fakhar Zaman,v West Indies,Providence,2,DNB,-
Fakhar Zaman,v West Indies,Providence,1,DNB,-
Sohaib Maqsood,v West Indies,Providence,1,DNB,-
Hasan Ali,v West Indies,Providence,1,DNB,-
Sharjeel Khan,v West Indies,Providence,1,DNB,-
Shadab Khan,v West Indies,Providence,1,DNB,-
Mohammad Rizwan,v West Indies,Providence,1,DNB,-
Haris Rauf,v West Indies,Providence,1,DNB,-
Babar Azam,v West Indies,Providence,1,DNB,-
Usman Qadir,v West Indies,Providence,1,DNB,-
Fakhar Zaman,v West Indies,Providence,1,DNB,-
Sohaib Maqsood,v West Indies,Providence,1,DNB,-
Sharjeel Khan,v West Indies,Providence,1,DNB,-
Shadab Khan,v West Indies,Providence,1,DNB,-
Mohammad Rizwan,v West Indies,Providence,1,DNB,-
Haris Rauf,v West Indies,Providence,1,DNB,-
Babar Azam,v West Indies,Providence,1,DNB,-
Usman Qadir,v West Indies,Providence,1,DNB,-
Shoaib Malik,v India,Dubai (DSC),1,DNB,-
Fakhar Zaman,v India,Dubai (DSC),1,DNB,-
Mohammad Rizwan,v India,Dubai (DSC),1,DNB,-
Babar Azam,v India,Dubai (DSC),1,DNB,-
Asif Ali,v India,Dubai (DSC),1,DNB,-
Mohammad Rizwan,v New Zealand,Sharjah,1,DNB,-
Babar Azam,v New Zealand,Sharjah,1,DNB,-
Asif Ali,v New Zealand,Sharjah,1,DNB,-
Shoaib Malik,v New Zealand,Sharjah,1,DNB,-
Fakhar Zaman,v New Zealand,Sharjah,1,DNB,-
Mohammad Rizwan,v Afghanistan,Dubai (DSC),1,DNB,-
Babar Azam,v Afghanistan,Dubai (DSC),1,DNB,-
Asif Ali,v Afghanistan,Dubai (DSC),1,DNB,-
Shoaib Malik,v Afghanistan,Dubai (DSC),1,DNB,-
Fakhar Zaman,v Afghanistan,Dubai (DSC),1,DNB,-
Mohammad Hafeez,v Afghanistan,Dubai (DSC),1,DNB,-
Mohammad Rizwan,v Namibia,Abu Dhabi,2,DNB,-
Babar Azam,v Namibia,Abu Dhabi,2,DNB,-
Asif Ali,v Namibia,Abu Dhabi,2,DNB,-
Shoaib Malik,v Namibia,Abu Dhabi,2,DNB,-
Fakhar Zaman,v Namibia,Abu Dhabi,2,DNB,-
Mohammad Rizwan,v Scotland,Sharjah,2,DNB,-
Babar Azam,v Scotland,Sharjah,2,DNB,-
Asif Ali,v Scotland,Sharjah,2,DNB,-
Shoaib Malik,v Scotland,Sharjah,2,DNB,-
Fakhar Zaman,v Scotland,Sharjah,2,DNB,-
Mohammad Hafeez,v Scotland,Sharjah,2,DNB,-
Mohammad Rizwan,v Australia,Dubai (DSC),2,DNB,-
Babar Azam,v Australia,Dubai (DSC),2,DNB,-
Asif Ali,v Australia,Dubai (DSC),2,DNB,-
Shoaib Malik,v Australia,Dubai (DSC),2,DNB,-
Fakhar Zaman,v Australia,Dubai (DSC),2,DNB,-
Mohammad Rizwan,v Bangladesh,Mirpur,1,DNB,-
Babar Azam,v Bangladesh,Mirpur,1,DNB,-
Haider Ali,v Bangladesh,Mirpur,1,DNB,-
Fakhar Zaman,v Bangladesh,Mirpur,1,DNB,-
Shoaib Malik,v Bangladesh,Mirpur,1,DNB,-
Khushdil Shah,v Bangladesh,Mirpur,1,DNB,-
Mohammad Rizwan,v Bangladesh,Mirpur,1,DNB,-
Babar Azam,v Bangladesh,Mirpur,1,DNB,-
Haider Ali,v Bangladesh,Mirpur,1,DNB,-
Fakhar Zaman,v Bangladesh,Mirpur,1,DNB,-
Khushdil Shah,v Bangladesh,Mirpur,1,DNB,-
Khushdil Shah,v Bangladesh,Mirpur,1,DNB,-
Mohammad Rizwan,v Bangladesh,Mirpur,1,DNB,-
Babar Azam,v Bangladesh,Mirpur,1,DNB,-
Haider Ali,v Bangladesh,Mirpur,1,DNB,-
Sarfaraz Ahmed,v Bangladesh,Mirpur,1,DNB,-
Mohammad Rizwan,v West Indies,Karachi,2,DNB,-
Babar Azam,v West Indies,Karachi,2,DNB,-
Iftikhar Ahmed,v West Indies,Karachi,2,DNB,-
Haider Ali,v West Indies,Karachi,2,DNB,-
Asif Ali,v West Indies,Karachi,2,DNB,-
Fakhar Zaman,v West Indies,Karachi,2,DNB,-
Fakhar Zaman,v West Indies,Karachi,2,DNB,-
Mohammad Rizwan,v West Indies,Karachi,2,DNB,-
Babar Azam,v West Indies,Karachi,2,DNB,-
Iftikhar Ahmed,v West Indies,Karachi,2,DNB,-
Haider Ali,v West Indies,Karachi,2,DNB,-
Asif Ali,v West Indies,Karachi,2,DNB,-
Fakhar Zaman,v West Indies,Karachi,1,DNB,-
Mohammad Rizwan,v West Indies,Karachi,1,DNB,-
Babar Azam,v West Indies,Karachi,1,DNB,-
Haider Ali,v West Indies,Karachi,1,DNB,-
Asif Ali,v West Indies,Karachi,1,DNB,-
Fakhar Zaman,v Australia,Lahore,2,DNB,-
Mohammad Rizwan,v Australia,Lahore,2,DNB,-
Babar Azam,v Australia,Lahore,2,DNB,-
Iftikhar Ahmed,v Australia,Lahore,2,DNB,-
Asif Ali,v Australia,Lahore,2,DNB,-
Asif Ali,v India,Dubai (DSC),2,DNB,-
Fakhar Zaman,v India,Dubai (DSC),2,DNB,-
Mohammad Rizwan,v India,Dubai (DSC),2,DNB,-
Khushdil Shah,v India,Dubai (DSC),2,DNB,-
Babar Azam,v India,Dubai (DSC),2,DNB,-
Iftikhar Ahmed,v India,Dubai (DSC),2,DNB,-
Asif Ali,v Hong Kong,Sharjah,2,DNB,-
Fakhar Zaman,v Hong Kong,Sharjah,2,DNB,-
Mohammad Rizwan,v Hong Kong,Sharjah,2,DNB,-
Khushdil Shah,v Hong Kong,Sharjah,2,DNB,-
Babar Azam,v Hong Kong,Sharjah,2,DNB,-
Asif Ali,v India,Dubai (DSC),1,DNB,-
Fakhar Zaman,v India,Dubai (DSC),1,DNB,-
Mohammad Rizwan,v India,Dubai (DSC),1,DNB,-
Khushdil Shah,v India,Dubai (DSC),1,DNB,-
Babar Azam,v India,Dubai (DSC),1,DNB,-
Iftikhar Ahmed,v India,Dubai (DSC),1,DNB,-
Khushdil Shah,v Afghanistan,Sharjah,1,DNB,-
Babar Azam,v Afghanistan,Sharjah,1,DNB,-
Iftikhar Ahmed,v Afghanistan,Sharjah,1,DNB,-
Asif Ali,v Afghanistan,Sharjah,1,DNB,-
Fakhar Zaman,v Afghanistan,Sharjah,1,DNB,-
Mohammad Rizwan,v Afghanistan,Sharjah,1,DNB,-
Fakhar Zaman,v Sri Lanka,Dubai (DSC),2,DNB,-
Babar Azam,v Sri Lanka,Dubai (DSC),2,DNB,-
Khushdil Shah,v Sri Lanka,Dubai (DSC),2,DNB,-
Iftikhar Ahmed,v Sri Lanka,Dubai (DSC),2,DNB,-
Asif Ali,v Sri Lanka,Dubai (DSC),2,DNB,-
Mohammad Rizwan,v Sri Lanka,Dubai (DSC),2,DNB,-
Mohammad Rizwan,v Sri Lanka,Dubai (DSC),1,DNB,-
Khushdil Shah,v Sri Lanka,Dubai (DSC),1,DNB,-
Babar Azam,v Sri Lanka,Dubai (DSC),1,DNB,-
Asif Ali,v Sri Lanka,Dubai (DSC),1,DNB,-
Fakhar Zaman,v Sri Lanka,Dubai (DSC),1,DNB,-
Iftikhar Ahmed,v England,Karachi,2,DNB,-
Shan Masood,v England,Karachi,2,DNB,-
Khushdil Shah,v England,Karachi,2,DNB,-
Mohammad Rizwan,v England,Karachi,2,DNB,-
Babar Azam,v England,Karachi,2,DNB,-
Haider Ali,v England,Karachi,2,DNB,-
Iftikhar Ahmed,v England,Karachi,1,DNB,-
Shan Masood,v England,Karachi,1,DNB,-
Khushdil Shah,v England,Karachi,1,DNB,-
Mohammad Rizwan,v England,Karachi,1,DNB,-
Babar Azam,v England,Karachi,1,DNB,-
Haider Ali,v England,Karachi,1,DNB,-
Iftikhar Ahmed,v England,Karachi,1,DNB,-
Shan Masood,v England,Karachi,1,DNB,-
Khushdil Shah,v England,Karachi,1,DNB,-
Mohammad Rizwan,v England,Karachi,1,DNB,-
Babar Azam,v England,Karachi,1,DNB,-
Haider Ali,v England,Karachi,1,DNB,-
Usman Qadir,v England,Karachi,2,DNB,-
Shan Masood,v England,Karachi,2,DNB,-
Asif Ali,v England,Karachi,2,DNB,-
Mohammad Rizwan,v England,Karachi,2,DNB,-
Khushdil Shah,v England,Karachi,2,DNB,-
Babar Azam,v England,Karachi,2,DNB,-
Haider Ali,v England,Lahore,2,DNB,-
Asif Ali,v England,Lahore,2,DNB,-
Shan Masood,v England,Lahore,2,DNB,-
Mohammad Rizwan,v England,Lahore,2,DNB,-
Babar Azam,v England,Lahore,2,DNB,-
Asif Ali,v England,Lahore,2,DNB,-
Mohammad Haris,v England,Lahore,2,DNB,-
Shan Masood,v England,Lahore,2,DNB,-
Babar Azam,v England,Lahore,2,DNB,-
Haider Ali,v England,Lahore,2,DNB,-
Iftikhar Ahmed,v England,Lahore,2,DNB,-
Asif Ali,v England,Lahore,1,DNB,-
Shan Masood,v England,Lahore,1,DNB,-
Khushdil Shah,v England,Lahore,1,DNB,-
Mohammad Rizwan,v England,Lahore,1,DNB,-
Babar Azam,v England,Lahore,1,DNB,-
Haider Ali,v Bangladesh,Christchurch,2,DNB,-
Iftikhar Ahmed,v Bangladesh,Christchurch,2,DNB,-
Asif Ali,v Bangladesh,Christchurch,2,DNB,-
Shan Masood,v Bangladesh,Christchurch,2,DNB,-
Mohammad Rizwan,v Bangladesh,Christchurch,2,DNB,-
Babar Azam,v Bangladesh,Christchurch,2,DNB,-
Haider Ali,v New Zealand,Christchurch,1,DNB,-
Asif Ali,v New Zealand,Christchurch,1,DNB,-
Shan Masood,v New Zealand,Christchurch,1,DNB,-
Mohammad Rizwan,v New Zealand,Christchurch,1,DNB,-
Babar Azam,v New Zealand,Christchurch,1,DNB,-
Babar Azam,v New Zealand,Christchurch,2,DNB,-
Haider Ali,v New Zealand,Christchurch,2,DNB,-
Asif Ali,v New Zealand,Christchurch,2,DNB,-
Shan Masood,v New Zealand,Christchurch,2,DNB,-
Mohammad Rizwan,v New Zealand,Christchurch,2,DNB,-
Babar Azam,v Bangladesh,Christchurch,1,DNB,-
Haider Ali,v Bangladesh,Christchurch,1,DNB,-
Asif Ali,v Bangladesh,Christchurch,1,DNB,-
Shan Masood,v Bangladesh,Christchurch,1,DNB,-
Mohammad Rizwan,v Bangladesh,Christchurch,1,DNB,-
Asif Ali,v New Zealand,Christchurch,1,DNB,-
Babar Azam,v New Zealand,Christchurch,1,DNB,-
Iftikhar Ahmed,v New Zealand,Christchurch,1,DNB,-
Shan Masood,v New Zealand,Christchurch,1,DNB,-
Haider Ali,v New Zealand,Christchurch,1,DNB,-
Mohammad Rizwan,v New Zealand,Christchurch,1,DNB,-
Iftikhar Ahmed,v India,Melbourne,2,DNB,-
Haider Ali,v India,Melbourne,2,DNB,-
Asif Ali,v India,Melbourne,2,DNB,-
Shan Masood,v India,Melbourne,2,DNB,-
Mohammad Rizwan,v India,Melbourne,2,DNB,-
Babar Azam,v India,Melbourne,2,DNB,-
Haider Ali,v Zimbabwe,Perth,1,DNB,-
Iftikhar Ahmed,v Zimbabwe,Perth,1,DNB,-
Shan Masood,v Zimbabwe,Perth,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Perth,1,DNB,-
Babar Azam,v Zimbabwe,Perth,1,DNB,-
Mohammad Nawaz (3),v Zimbabwe,Perth,1,DNB,-
Iftikhar Ahmed,v Netherlands,Perth,1,DNB,-
Fakhar Zaman,v Netherlands,Perth,1,DNB,-
Shan Masood,v Netherlands,Perth,1,DNB,-
Mohammad Rizwan,v Netherlands,Perth,1,DNB,-
Babar Azam,v Netherlands,Perth,1,DNB,-
Iftikhar Ahmed,v South Africa,Sydney,2,DNB,-
Mohammad Haris,v South Africa,Sydney,2,DNB,-
Shan Masood,v South Africa,Sydney,2,DNB,-
Mohammad Rizwan,v South Africa,Sydney,2,DNB,-
Babar Azam,v South Africa,Sydney,2,DNB,-
Mohammad Nawaz (3),v Bangladesh,Adelaide,1,DNB,-
Mohammad Haris,v Bangladesh,Adelaide,1,DNB,-
Shan Masood,v Bangladesh,Adelaide,1,DNB,-
Mohammad Rizwan,v Bangladesh,Adelaide,1,DNB,-
Babar Azam,v Bangladesh,Adelaide,1,DNB,-
Iftikhar Ahmed,v New Zealand,Sydney,1,DNB,-
Mohammad Haris,v New Zealand,Sydney,1,DNB,-
Shan Masood,v New Zealand,Sydney,1,DNB,-
Mohammad Rizwan,v New Zealand,Sydney,1,DNB,-
Babar Azam,v New Zealand,Sydney,1,DNB,-
Babar Azam,v England,Melbourne,2,DNB,-
Mohammad Nawaz (3),v England,Melbourne,2,DNB,-
Mohammad Haris,v England,Melbourne,2,DNB,-
Shan Masood,v England,Melbourne,2,DNB,-
Mohammad Rizwan,v England,Melbourne,2,DNB,-
Saim Ayub,v Afghanistan,Sharjah,2,DNB,-
Tayyab Tahir,v Afghanistan,Sharjah,2,DNB,-
Mohammad Haris,v Afghanistan,Sharjah,2,DNB,-
Abdullah Shafique,v Afghanistan,Sharjah,2,DNB,-
Azam Khan,v Afghanistan,Sharjah,2,DNB,-
Faheem Ashraf,v Afghanistan,Sharjah,2,DNB,-
Saim Ayub,v Afghanistan,Sharjah,2,DNB,-
Tayyab Tahir,v Afghanistan,Sharjah,2,DNB,-
Mohammad Haris,v Afghanistan,Sharjah,2,DNB,-
Abdullah Shafique,v Afghanistan,Sharjah,2,DNB,-
Azam Khan,v Afghanistan,Sharjah,2,DNB,-
Iftikhar Ahmed,v Afghanistan,Sharjah,2,DNB,-
Mohammad Haris,v Afghanistan,Sharjah,2,DNB,-
Tayyab Tahir,v Afghanistan,Sharjah,2,DNB,-
Abdullah Shafique,v Afghanistan,Sharjah,2,DNB,-
Saim Ayub,v Afghanistan,Sharjah,2,DNB,-
Mohammad Rizwan,v New Zealand,Lahore,2,DNB,-
Babar Azam,v New Zealand,Lahore,2,DNB,-
Saim Ayub,v New Zealand,Lahore,2,DNB,-
Fakhar Zaman,v New Zealand,Lahore,2,DNB,-
Mohammad Rizwan,v New Zealand,Lahore,2,DNB,-
Babar Azam,v New Zealand,Lahore,2,DNB,-
Saim Ayub,v New Zealand,Lahore,2,DNB,-
Iftikhar Ahmed,v New Zealand,Lahore,2,DNB,-
Fakhar Zaman,v New Zealand,Lahore,2,DNB,-
Mohammad Rizwan,v New Zealand,Lahore,1,DNB,-
Babar Azam,v New Zealand,Lahore,1,DNB,-
Iftikhar Ahmed,v New Zealand,Lahore,1,DNB,-
Saim Ayub,v New Zealand,Lahore,1,DNB,-
Fakhar Zaman,v New Zealand,Lahore,1,DNB,-
Mohammad Rizwan,v New Zealand,Rawalpindi,1,DNB,-
Babar Azam,v New Zealand,Rawalpindi,1,DNB,-
Saim Ayub,v New Zealand,Rawalpindi,1,DNB,-
Iftikhar Ahmed,v New Zealand,Rawalpindi,1,DNB,-
Fakhar Zaman,v New Zealand,Rawalpindi,1,DNB,-
Iftikhar Ahmed,v New Zealand,Rawalpindi,2,DNB,-
Mohammad Haris,v New Zealand,Rawalpindi,2,DNB,-
Mohammad Rizwan,v New Zealand,Rawalpindi,2,DNB,-
Babar Azam,v New Zealand,Rawalpindi,2,DNB,-
Saim Ayub,v New Zealand,Rawalpindi,2,DNB,-
