Player,Opposition,Ground,Inns,Runs
Babar Azam,v South Africa,Centurion,2,122
Ahmed Shehzad,v Bangladesh,Mirpur,1,111*
Babar Azam,v England,Karachi,2,110*
Mohammad Rizwan,v South Africa,Lahore,1,104*
Babar Azam,v New Zealand,Lahore,1,101*
Mohammad Hafeez,v New Zealand,Hamilton,1,99*
Ahmed Shehzad,v Zimbabwe,Harare,1,98*
Mohammad Rizwan,v New Zealand,Rawalpindi,1,98*
Babar Azam,v West Indies,Karachi,1,97*
Umar Akmal,v Australia,Mirpur,1,94
Mohammad Rizwan,v Zimbabwe,Harare,1,91*
Fakhar Zaman,v Australia,Harare,2,91
Babar Azam,v South Africa,Johannesburg,2,90
Sarfaraz Ahmed,v Scotland,Edinburgh,1,89*
Ahmed Shehzad,v World-XI,Lahore,1,89
Mohammad Rizwan,v New Zealand,Napier,2,89
Mohammad Rizwan,v England,Karachi,2,88*
Mohammad Rizwan,v England,Karachi,1,88
Misbah-ul-Haq,v Bangladesh,Karachi,1,87*
Babar Azam,v England,Lahore,1,87*
Mohammad Rizwan,v West Indies,Karachi,2,87
Mohammad Hafeez,v England,Manchester,1,86*
Mohammad Hafeez,v South Africa,Centurion,1,86
Babar Azam,v World-XI,Lahore,1,86
Babar Azam,v England,Nottingham,1,85
Mukhtar Ahmed,v Zimbabwe,Lahore,2,83
Mohammad Rizwan,v Zimbabwe,Harare,1,82*
Babar Azam,v Zimbabwe,Rawalpindi,2,82
Mohammad Rizwan,v India,Dubai (DSC),2,79*
Mohammad Rizwan,v Namibia,Abu Dhabi,1,79*
Babar Azam,v New Zealand,Christchurch,2,79*
Babar Azam,v New Zealand,Dubai (DSC),1,79
Babar Azam,v West Indies,Karachi,2,79
Mohammad Rizwan,v Hong Kong,Sharjah,1,78*
Mohammad Rizwan,v Bangladesh,Christchurch,1,78*
Mohammad Rizwan,v West Indies,Karachi,1,78
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),2,76*
Mohammad Rizwan,v England,Manchester,1,76*
Shoaib Malik,v England,Sharjah,2,75
Mohammad Rizwan,v South Africa,Johannesburg,2,74*
Salman Butt,v Canada,King City (NW),1,74
Mohammad Rizwan,v South Africa,Centurion,2,73*
Kamran Akmal,v Bangladesh,Gros Islet,1,73
Salman Butt,v Bangladesh,Gros Islet,1,73
Fakhar Zaman,v Australia,Harare,1,73
Imran Nazir,v Bangladesh,Pallekele,2,72
Mohammad Hafeez,v Zimbabwe,Harare,1,71
Mohammad Rizwan,v India,Dubai (DSC),2,71
Ahmed Shehzad,v Zimbabwe,Harare,1,70
Babar Azam,v Namibia,Abu Dhabi,1,70
Mohammad Hafeez,v England,Manchester,1,69
Mohammad Rizwan,v Bangladesh,Christchurch,2,69
Babar Azam,v Australia,Abu Dhabi,1,68*
Babar Azam,v India,Dubai (DSC),2,68*
Haider Ali,v West Indies,Karachi,1,68
Mohammad Rizwan,v England,Karachi,1,68
Salman Butt,v New Zealand,Bridgetown,2,67*
Mohammad Hafeez,v Bangladesh,Lahore,2,67*
Mohammad Rizwan,v Australia,Dubai (DSC),1,67
Misbah-ul-Haq,v Australia,Johannesburg,2,66*
Babar Azam,v Bangladesh,Lahore,2,66*
Haider Ali,v Zimbabwe,Rawalpindi,2,66*
Babar Azam,v Scotland,Sharjah,1,66
Babar Azam,v Australia,Lahore,1,66
Shan Masood,v England,Karachi,2,65*
Babar Azam,v England,Cardiff,1,65
Imad Wasim,v Afghanistan,Sharjah,1,64*
Kamran Akmal,v Australia,Melbourne,2,64
Umar Akmal,v Australia,Birmingham,1,64
Umar Akmal,v South Africa,Cape Town,1,64
Mohammad Hafeez,v Bangladesh,Eden Gardens,1,64
Shoaib Malik,v U.A.E.,Mirpur,2,63*
Mohammad Hafeez,v South Africa,Cape Town,1,63
Hussain Talat,v West Indies,Karachi,1,63
Mohammad Rizwan,v England,Nottingham,1,63
Mohammad Rizwan,v England,Lahore,1,63
Iftikhar Ahmed,v Australia,Canberra,1,62*
Mukhtar Ahmed,v Zimbabwe,Lahore,2,62
Mohammad Hafeez,v India,Bengaluru,2,61
Mohammad Hafeez,v New Zealand,Auckland,1,61
Fakhar Zaman,v Zimbabwe,Harare,1,61
Fakhar Zaman,v South Africa,Centurion,2,60
Iftikhar Ahmed,v New Zealand,Lahore,2,60
Kamran Akmal,v Australia,Dubai (DSC),2,59*
Khalid Latif,v England,Manchester,2,59*
Babar Azam,v Australia,Sydney,1,59*
Imran Nazir,v New Zealand,Cape Town,2,59
Sharjeel Khan,v England,Manchester,2,59
Sarfaraz Ahmed,v Bangladesh,Mirpur,1,58*
Shoaib Malik,v Bangladesh,Lahore,2,58*
Imran Nazir,v New Zealand,Dubai (DSC),1,58
Shoaib Malik,v India,Bengaluru,2,57*
Fakhar Zaman,v Bangladesh,Mirpur,2,57*
Shoaib Malik,v Sri Lanka,Johannesburg,1,57
Kamran Akmal,v Ireland,The Oval,1,57
Mohammad Rizwan,v New Zealand,Sydney,2,57
Umar Akmal,v New Zealand,Dubai (DSC),1,56*
Umar Akmal,v Australia,Gros Islet,1,56*
Umar Akmal,v New Zealand,Hamilton,1,56*
Nasir Jamshed,v New Zealand,Pallekele,1,56
Babar Azam,v England,Manchester,1,56
Shan Masood,v England,Lahore,2,56
Babar Azam,v West Indies,Dubai (DSC),2,55*
Fakhar Zaman,v Australia,Dubai (DSC),1,55*
Nasir Jamshed,v Australia,Colombo (RPS),1,55
Mohammad Hafeez,v India,Ahmedabad,2,55
Ahmed Shehzad,v Zimbabwe,Lahore,2,55
Hussain Talat,v South Africa,Johannesburg,2,55
Mohammad Rizwan,v Sri Lanka,Dubai (DSC),2,55
Babar Azam,v Bangladesh,Christchurch,2,55
Shahid Afridi,v Sri Lanka,Lord's,2,54*
Mohammad Hafeez,v Zimbabwe,Harare,1,54*
Shoaib Malik,v Scotland,Sharjah,1,54*
Ahmed Shehzad,v New Zealand,Christchurch,1,54
Haider Ali,v England,Manchester,1,54
Mohammad Hafeez,v New Zealand,Dubai (DSC),1,53*
Misbah-ul-Haq,v India,Durban,2,53
Ahmed Shehzad,v West Indies,Port of Spain,2,53
Shoaib Malik,v Scotland,Edinburgh,1,53
Fakhar Zaman,v Hong Kong,Sharjah,1,53
Babar Azam,v New Zealand,Sydney,2,53
Shoaib Malik,v Australia,Johannesburg,2,52*
Shahid Afridi,v Sri Lanka,Hambantota,1,52*
Shan Masood,v India,Melbourne,1,52*
Ahmed Shehzad,v Bangladesh,Eden Gardens,1,52
Haris Sohail,v Sri Lanka,Lahore,2,52
Babar Azam,v Zimbabwe,Harare,1,52
Shadab Khan,v South Africa,Sydney,1,52
Younis Khan,v Sri Lanka,Johannesburg,1,51
Shahid Afridi,v South Africa,Nottingham,1,51
Umar Akmal,v South Africa,Gros Islet,1,51
Mohammad Hafeez,v Zimbabwe,Harare,1,51
Shoaib Malik,v Sri Lanka,Lahore,1,51
Babar Azam,v West Indies,Karachi,2,51
Babar Azam,v Zimbabwe,Rawalpindi,2,51
Mohammad Rizwan,v South Africa,Lahore,1,51
Babar Azam,v West Indies,Providence,1,51
Babar Azam,v Afghanistan,Dubai (DSC),2,51
Iftikhar Ahmed,v India,Melbourne,1,51
Iftikhar Ahmed,v South Africa,Sydney,1,51
Umar Akmal,v U.A.E.,Mirpur,2,50*
Babar Azam,v New Zealand,Auckland,1,50*
Shoaib Khan jnr,v Zimbabwe,King City (NW),2,50
Younis Khan,v Sri Lanka,Lord's,2,50
Shahid Afridi,v Sri Lanka,Colombo (RPS),1,50
Kamran Akmal,v Australia,Gros Islet,1,50
Sharjeel Khan,v Sri Lanka,Dubai (DSC),2,50
Fakhar Zaman,v New Zealand,Auckland,1,50
Babar Azam,v Australia,Dubai (DSC),1,50
Haris Sohail,v England,Cardiff,1,50
Babar Azam,v Australia,Canberra,1,50
Babar Azam,v South Africa,Johannesburg,1,50
Mohammad Rizwan,v New Zealand,Lahore,1,50
Shoaib Malik,v Scotland,Edinburgh,1,49*
Imran Nazir,v Bangladesh,Nairobi (Gym),1,49
Umar Akmal,v South Africa,Dubai (DSC),1,49
Shahid Afridi,v Bangladesh,Eden Gardens,1,49
Shoaib Malik,v South Africa,Cape Town,2,49
Mohammad Rizwan,v Netherlands,Perth,2,49
Saim Ayub,v Afghanistan,Sharjah,1,49
Misbah-ul-Haq,v Sri Lanka,Abu Dhabi,2,48*
Younis Khan,v Bangladesh,Nairobi (Gym),1,48
Umar Akmal,v Sri Lanka,Mirpur,2,48
Kamran Akmal,v West Indies,Port of Spain,1,48
Babar Azam,v World-XI,Lahore,1,48
Younis Khan,v Bangladesh,Karachi,1,47
Umar Amin,v West Indies,Kingstown,2,47
Sharjeel Khan,v New Zealand,Mohali,2,47
Fakhar Zaman,v Zimbabwe,Harare,2,47
Imad Wasim,v Sri Lanka,Lahore,2,47
Fakhar Zaman,v New Zealand,Lahore,1,47
Saim Ayub,v New Zealand,Lahore,1,47
Younis Khan,v England,The Oval,2,46*
Abdul Razzaq,v England,Dubai (DSC),2,46*
Umar Akmal,v West Indies,Kingstown,1,46*
Shoaib Malik,v Sri Lanka,Colombo (RPS),1,46*
Sarfaraz Ahmed,v West Indies,Dubai (DSC),1,46*
Mohammad Hafeez,v England,Bristol,2,46
Mohammad Hafeez,v New Zealand,Hamilton,2,46
Ahmed Shehzad,v South Africa,Centurion,1,46
Shahid Afridi,v West Indies,Kingstown,2,46
Ahmed Shehzad,v Sri Lanka,Colombo (RPS),1,46
Umar Akmal,v Sri Lanka,Colombo (RPS),1,46
Anwar Ali,v Sri Lanka,Colombo (RPS),2,46
Khalid Latif,v Australia,Mohali,2,46
Fakhar Zaman,v New Zealand,Mount Maunganui,1,46
Mohammad Rizwan,v West Indies,Providence,1,46
Mohammad Nawaz (3),v Bangladesh,Christchurch,2,45*
Mohammad Hafeez,v Australia,Dubai (DSC),1,45
Nasir Jamshed,v Australia,Dubai (DSC),1,45
Mohammad Hafeez,v Bangladesh,Pallekele,2,45
Shahid Afridi,v Sri Lanka,Colombo (RPS),2,45
Babar Azam,v World-XI,Lahore,1,45
Umar Amin,v Sri Lanka,Lahore,1,45
Babar Azam,v Australia,Dubai (DSC),1,45
Mohammad Hafeez,v New Zealand,Abu Dhabi,1,45
Iftikhar Ahmed,v Australia,Perth,1,45
Haider Ali,v Bangladesh,Mirpur,2,45
Salman Butt,v Sri Lanka,King City (NW),1,44
Ahmed Shehzad,v West Indies,Kingstown,1,44
Ahmed Shehzad,v New Zealand,Auckland,1,44
Hussain Talat,v Zimbabwe,Harare,2,44
Babar Azam,v South Africa,Lahore,2,44
Shan Masood,v Zimbabwe,Perth,2,44
Kamran Akmal,v Australia,Dubai (DSC),1,43*
Umar Akmal,v South Africa,Colombo (RPS),2,43*
Shoaib Malik,v West Indies,Abu Dhabi,2,43*
Shoaib Malik,v Australia,Harare,2,43*
Misbah-ul-Haq,v India,Johannesburg,2,43
Mohammad Hafeez,v New Zealand,Pallekele,1,43
Babar Azam,v West Indies,Port of Spain,1,43
Ahmed Shehzad,v World-XI,Lahore,1,43
Mohammad Rizwan,v India,Dubai (DSC),1,43
Shoaib Malik,v Sri Lanka,King City (NW),2,42*
Mohammad Hafeez,v Afghanistan,Sharjah,2,42*
Shoaib Malik,v Sri Lanka,Abu Dhabi,2,42*
Shoaib Malik,v Kenya,Nairobi (Gym),2,42
Mohammad Hafeez,v Sri Lanka,Colombo (RPS),2,42
Shadab Khan,v New Zealand,Auckland,1,42
Mohammad Rizwan,v South Africa,Lahore,2,42
Mohammad Nawaz (3),v India,Dubai (DSC),2,42
Asif Ali,v Zimbabwe,Harare,1,41*
Abdullah Shafique,v Zimbabwe,Rawalpindi,2,41*
Younis Khan,v Scotland,Durban,1,41
Kamran Akmal,v Netherlands,Lord's,1,41
Misbah-ul-Haq,v Australia,Gros Islet,2,41
Umar Akmal,v West Indies,Gros Islet,2,41
Nasir Jamshed,v India,Ahmedabad,2,41
Sohail Tanvir,v Sri Lanka,Dubai (DSC),2,41
Sarfaraz Ahmed,v New Zealand,Wellington,2,41
Shoaib Malik,v Bangladesh,Mirpur,1,41
Babar Azam,v New Zealand,Wellington,1,41
Sarfaraz Ahmed,v New Zealand,Auckland,1,41
Hussain Talat,v West Indies,Karachi,1,41
Mohammad Hafeez,v New Zealand,Napier,2,41
Babar Azam,v Zimbabwe,Harare,2,41
Shoaib Malik,v Australia,Mohali,2,40*
Imran Nazir,v Sri Lanka,Colombo (RPS),1,40
Khalid Latif,v West Indies,Dubai (DSC),1,40
Fakhar Zaman,v West Indies,Karachi,2,40
Mohammad Hafeez,v Australia,Dubai (DSC),1,40
Babar Azam,v New Zealand,Dubai (DSC),2,40
Hussain Talat,v South Africa,Cape Town,2,40
Mohammad Rizwan,v Bangladesh,Mirpur,2,40
Shahid Afridi,v Sri Lanka,Dubai (DSC),2,39*
Shahid Afridi,v Bangladesh,Cape Town,2,39
Shoaib Malik,v England,Dubai (DSC),1,39
Shoaib Malik,v New Zealand,Hamilton,1,39
Ahmed Shehzad,v World-XI,Lahore,1,39
Shoaib Malik,v World-XI,Lahore,1,39
Fakhar Zaman,v West Indies,Karachi,1,39
Mohammad Hafeez,v Australia,Abu Dhabi,1,39
Sahibzada Farhan,v Australia,Dubai (DSC),1,39
Babar Azam,v Australia,Dubai (DSC),1,39
Mohammad Rizwan,v Bangladesh,Mirpur,2,39
Umar Akmal,v Zimbabwe,Harare,1,38*
Shoaib Malik,v West Indies,Bridgetown,2,38*
Sarfaraz Ahmed,v Zimbabwe,Harare,2,38*
Mohammad Nawaz (3),v New Zealand,Christchurch,2,38*
Asad Shafiq,v Zimbabwe,Harare,1,38
Sarfaraz Ahmed,v Sri Lanka,Mirpur,2,38
Babar Azam,v West Indies,Port of Spain,2,38
Shoaib Malik,v World-XI,Lahore,1,38
Sarfaraz Ahmed,v West Indies,Karachi,1,38
Asif Ali,v New Zealand,Dubai (DSC),2,38
Babar Azam,v South Africa,Cape Town,2,38
Mohammad Rizwan,v West Indies,Karachi,1,38
Shan Masood,v England,Melbourne,1,38
Shoaib Malik,v West Indies,Karachi,1,37*
Shoaib Malik,v Zimbabwe,Harare,1,37*
Asif Ali,v Australia,Harare,1,37*
Kamran Akmal,v Sri Lanka,Lord's,2,37
Kamran Akmal,v South Africa,Gros Islet,1,37
Sohaib Maqsood,v South Africa,Dubai (DSC),2,37
Mukhtar Ahmed,v Bangladesh,Mirpur,1,37
Shoaib Malik,v West Indies,Dubai (DSC),1,37
Mohammad Rizwan,v England,Leeds,2,37
Khushdil Shah,v Zimbabwe,Rawalpindi,2,36*
Shadab Khan,v England,Leeds,2,36*
Younis Khan,v Netherlands,Lord's,1,36
Umar Akmal,v England,Dubai (DSC),2,36
Ahmed Shehzad,v Sri Lanka,Hambantota,2,36
Ahsan Ali,v Bangladesh,Lahore,2,36
Fakhar Zaman,v England,Manchester,1,36
Mohammad Hafeez,v Zimbabwe,Rawalpindi,2,36
Shadab Khan,v Afghanistan,Sharjah,2,36
Babar Azam,v England,Karachi,1,36
Iftikhar Ahmed,v New Zealand,Rawalpindi,1,36
Umar Akmal,v England,Cardiff,1,35*
Khushdil Shah,v Hong Kong,Sharjah,1,35*
Shoaib Malik,v Bangladesh,Karachi,1,35
Shahzaib Hasan,v New Zealand,The Oval,2,35
Ahmed Shehzad,v Afghanistan,Sharjah,2,35
Shoaib Malik,v Zimbabwe,Harare,1,35
Abdul Razzaq,v New Zealand,Christchurch,1,34*
Khalid Latif,v West Indies,Dubai (DSC),2,34*
Babar Azam,v Sri Lanka,Lahore,1,34*
Mohammad Hafeez,v New Zealand,Dubai (DSC),2,34*
Shoaib Malik,v South Africa,Nottingham,1,34
Salman Butt,v England,Bridgetown,1,34
Mohammad Hafeez,v New Zealand,Christchurch,1,34
Asad Shafiq,v England,Abu Dhabi,2,34
Sharjeel Khan,v Sri Lanka,Dubai (DSC),2,34
Sarfaraz Ahmed,v New Zealand,Abu Dhabi,1,34
Fakhar Zaman,v Bangladesh,Mirpur,2,34
Khushdil Shah,v Bangladesh,Mirpur,2,34
Shadab Khan,v New Zealand,Christchurch,2,34
Mohammad Rizwan,v New Zealand,Christchurch,2,34
Salman Butt,v Zimbabwe,King City (NW),2,33*
Mohammad Rizwan,v Zimbabwe,Harare,1,33*
Iftikhar Ahmed,v New Zealand,Lahore,1,33*
Salman Butt,v Bangladesh,Nairobi (Gym),1,33
Imran Nazir,v India,Johannesburg,2,33
Shoaib Malik,v England,Dubai (DSC),1,33
Shahid Afridi,v Australia,Gros Islet,2,33
Kamran Akmal,v Australia,Birmingham,1,33
Misbah-ul-Haq,v South Africa,Abu Dhabi,1,33
Asad Shafiq,v Sri Lanka,Abu Dhabi,2,33
Umar Akmal,v India,Mirpur,1,33
Ahmed Shehzad,v New Zealand,Dubai (DSC),2,33
Fakhar Zaman,v Scotland,Edinburgh,1,33
Mohammad Rizwan,v New Zealand,Sharjah,2,33
Mohammad Hafeez,v Australia,Dubai (DSC),1,32*
Mohammad Hafeez,v Namibia,Abu Dhabi,1,32*
Shahid Afridi,v Bangladesh,Nairobi (Gym),1,32
Mohammad Hafeez,v New Zealand,Cape Town,2,32
Salman Butt,v Australia,Gros Islet,1,32
Umar Gul,v South Africa,Colombo (RPS),2,32
Kamran Akmal,v Australia,Colombo (RPS),1,32
Mohammad Hafeez,v Sri Lanka,Dubai (DSC),2,32
Umar Akmal,v Australia,Mohali,2,32
Mohammad Hafeez,v South Africa,Johannesburg,1,32
Iftikhar Ahmed,v West Indies,Karachi,1,32
Iftikhar Ahmed,v Sri Lanka,Dubai (DSC),2,32
Mohammad Rizwan,v Bangladesh,Adelaide,2,32
Babar Azam,v England,Melbourne,1,32
Shadab Khan,v Afghanistan,Sharjah,1,32
Misbah-ul-Haq,v Kenya,Nairobi (Gym),2,31*
Misbah-ul-Haq,v Netherlands,Lord's,1,31*
Kamran Akmal,v Australia,Dubai (DSC),2,31*
Hussain Talat,v West Indies,Karachi,2,31*
Salman Butt,v Australia,Birmingham,1,31
Ahmed Shehzad,v India,Ahmedabad,2,31
Kamran Akmal,v Australia,Mirpur,1,31
Sharjeel Khan,v Sri Lanka,Mirpur,2,31
Fakhar Zaman,v Sri Lanka,Lahore,1,31
Mohammad Rizwan,v Australia,Sydney,1,31
Faheem Ashraf,v New Zealand,Auckland,1,31
Mohammad Hafeez,v Scotland,Sharjah,1,31
Haider Ali,v West Indies,Karachi,1,31
Babar Azam,v England,Karachi,1,31
Iftikhar Ahmed,v England,Lahore,1,31
Shan Masood,v Bangladesh,Christchurch,1,31
Haider Ali,v New Zealand,Christchurch,2,31
Mohammad Haris,v Bangladesh,Adelaide,2,31
Iftikhar Ahmed,v Afghanistan,Sharjah,1,31
Imad Wasim,v New Zealand,Rawalpindi,1,31
Wahab Riaz,v New Zealand,Auckland,1,30*
Haris Sohail,v Bangladesh,Mirpur,1,30*
Faheem Ashraf,v South Africa,Lahore,1,30*
Mohammad Nawaz (3),v West Indies,Karachi,1,30*
Shoaib Malik,v Netherlands,Lord's,1,30
Umar Akmal,v Sri Lanka,Colombo (RPS),1,30
Umar Akmal,v England,Bridgetown,1,30
Shahid Afridi,v South Africa,Gros Islet,1,30
Umar Gul,v New Zealand,Auckland,1,30
Umar Akmal,v New Zealand,Christchurch,1,30
Umar Akmal,v Zimbabwe,Lahore,2,30
Ahmed Shehzad,v New Zealand,Mohali,2,30
Sharjeel Khan,v Australia,Mohali,2,30
Hussain Talat,v Australia,Harare,1,30
Faheem Ashraf,v South Africa,Johannesburg,2,30
Fakhar Zaman,v Afghanistan,Dubai (DSC),2,30
Iftikhar Ahmed,v Afghanistan,Sharjah,2,30
Babar Azam,v Sri Lanka,Dubai (DSC),1,30
Mohammad Haris,v New Zealand,Sydney,2,30
Shahid Afridi,v New Zealand,The Oval,2,29*
Nasir Jamshed,v Bangladesh,Pallekele,2,29*
Umar Akmal,v Sri Lanka,Colombo (RPS),2,29*
Abdul Razzaq,v New Zealand,Bridgetown,2,29
Shahid Afridi,v England,Sharjah,2,29
Babar Azam,v West Indies,Bridgetown,2,29
Sarfaraz Ahmed,v New Zealand,Mount Maunganui,1,29
Shadab Khan,v Australia,Harare,1,29
Asif Ali,v Sri Lanka,Lahore,2,29
Khushdil Shah,v England,Karachi,2,29
Shadab Khan,v West Indies,Karachi,1,28*
Shahid Afridi,v England,Bristol,2,28
Salman Butt,v England,The Oval,2,28
Shoaib Malik,v Sri Lanka,Lord's,2,28
Fawad Alam,v England,Dubai (DSC),2,28
Umar Akmal,v Zimbabwe,Harare,1,28
Misbah-ul-Haq,v England,Abu Dhabi,2,28
Shoaib Malik,v India,Colombo (RPS),1,28
Umar Akmal,v Afghanistan,Sharjah,2,28
Shahid Afridi,v Sri Lanka,Dubai (DSC),2,28
Shahid Afridi,v New Zealand,Dubai (DSC),2,28
Ahmed Shehzad,v England,Dubai (DSC),2,28
Shoaib Malik,v West Indies,Port of Spain,1,28
Sarfaraz Ahmed,v Sri Lanka,Abu Dhabi,2,28
Sarfaraz Ahmed,v Australia,Harare,2,28
Iftikhar Ahmed,v India,Dubai (DSC),1,28
Iftikhar Ahmed,v England,Karachi,1,28
Mohammad Haris,v South Africa,Sydney,1,28
Mohammad Nawaz (3),v South Africa,Sydney,1,28
Shadab Khan,v Afghanistan,Sharjah,1,28
Imran Nazir,v Bangladesh,Cape Town,2,27*
Misbah-ul-Haq,v South Africa,Abu Dhabi,1,27*
Umar Akmal,v New Zealand,Dubai (DSC),2,27*
Babar Azam,v West Indies,Abu Dhabi,2,27*
Asif Ali,v New Zealand,Sharjah,2,27*
Shoaib Malik,v Sri Lanka,Hambantota,1,27
Babar Azam,v West Indies,Port of Spain,1,27
Fakhar Zaman,v World-XI,Lahore,1,27
Ahmed Shehzad,v Sri Lanka,Abu Dhabi,2,27
Shoaib Malik,v Australia,Harare,1,27
Babar Azam,v Sri Lanka,Lahore,2,27
Haider Ali,v Zimbabwe,Rawalpindi,2,27
Fakhar Zaman,v South Africa,Johannesburg,2,27
Khushdil Shah,v England,Lahore,2,27
Iftikhar Ahmed,v New Zealand,Christchurch,1,27
Faheem Ashraf,v New Zealand,Lahore,2,27
Shoaib Malik,v New Zealand,Cape Town,2,26*
Abdul Razzaq,v New Zealand,Dubai (DSC),1,26*
Misbah-ul-Haq,v England,Dubai (DSC),1,26*
Shoaib Malik,v New Zealand,Sharjah,2,26*
Kamran Akmal,v New Zealand,Dubai (DSC),1,26
Mohammad Yousuf,v England,Cardiff,1,26
Umar Akmal,v New Zealand,Hamilton,2,26
Sohaib Maqsood,v Zimbabwe,Harare,1,26
Shoaib Malik,v Bangladesh,Mirpur,1,26
Mohammad Hafeez,v Bangladesh,Mirpur,1,26
Sohaib Maqsood,v Zimbabwe,Harare,1,26
Shoaib Malik,v England,Dubai (DSC),2,26
Shoaib Malik,v India,Eden Gardens,1,26
Mohammad Rizwan,v South Africa,Centurion,1,26
Sarfaraz Ahmed,v Sri Lanka,Lahore,2,26
Fakhar Zaman,v England,Nottingham,1,26
Mohammad Nawaz (3),v Sri Lanka,Dubai (DSC),1,26
Abdul Razzaq,v Sri Lanka,Colombo (RPS),1,25*
Sohail Tanvir,v England,Dubai (DSC),2,25*
Mohammad Hafeez,v Sri Lanka,Abu Dhabi,2,25*
Asif Ali,v West Indies,Karachi,2,25*
Mohammad Nawaz (3),v South Africa,Centurion,2,25*
Asif Ali,v Afghanistan,Dubai (DSC),2,25*
Asif Ali,v New Zealand,Christchurch,1,25*
Iftikhar Ahmed,v New Zealand,Christchurch,2,25*
Mohammad Hafeez,v South Africa,Johannesburg,1,25
Umar Akmal,v Australia,Birmingham,1,25
Shahid Afridi,v South Africa,Abu Dhabi,1,25
Abdul Razzaq,v South Africa,Abu Dhabi,1,25
Asad Shafiq,v West Indies,Gros Islet,2,25
Mohammad Hafeez,v Bangladesh,Mirpur,1,25
Shahid Afridi,v England,Dubai (DSC),2,25
Imran Nazir,v New Zealand,Pallekele,1,25
Saad Nasim,v Australia,Dubai (DSC),1,25
Mohammad Hafeez,v England,Dubai (DSC),2,25
Sarfaraz Ahmed,v India,Mirpur,1,25
Ahmed Shehzad,v India,Eden Gardens,1,25
Asif Ali,v South Africa,Centurion,1,25
Iftikhar Ahmed,v Sri Lanka,Lahore,2,25
Babar Azam,v Bangladesh,Adelaide,2,25
Younis Khan,v South Africa,Nottingham,1,24*
Shoaib Malik,v Sri Lanka,Lord's,2,24*
Imad Wasim,v Sri Lanka,Colombo (RPS),2,24*
Shan Masood,v Bangladesh,Adelaide,2,24*
Younis Khan,v India,Johannesburg,2,24
Younis Khan,v Sri Lanka,King City (NW),2,24
Misbah-ul-Haq,v Australia,Dubai (DSC),2,24
Shahid Afridi,v Ireland,The Oval,1,24
Shahid Afridi,v New Zealand,Dubai (DSC),1,24
Mohammad Hafeez,v New Zealand,Auckland,1,24
Mohammad Hafeez,v Sri Lanka,Hambantota,1,24
Umar Akmal,v India,Ahmedabad,2,24
Sohaib Maqsood,v England,Dubai (DSC),2,24
Shahid Afridi,v England,Dubai (DSC),2,24
Mohammad Rizwan,v England,Sharjah,2,24
Umar Akmal,v New Zealand,Auckland,1,24
Umar Akmal,v New Zealand,Mohali,2,24
Wahab Riaz,v West Indies,Port of Spain,1,24
Ahmed Shehzad,v Scotland,Edinburgh,1,24
Asif Ali,v New Zealand,Abu Dhabi,1,24
Fakhar Zaman,v New Zealand,Dubai (DSC),2,24
Sarfaraz Ahmed,v Sri Lanka,Lahore,2,24
Babar Azam,v South Africa,Centurion,2,24
Mohammad Hafeez,v England,Nottingham,1,24
Fakhar Zaman,v England,Manchester,1,24
Khushdil Shah,v Australia,Lahore,1,24
Fawad Alam,v Sri Lanka,King City (NW),2,23*
Misbah-ul-Haq,v Sri Lanka,King City (NW),1,23*
Shahid Afridi,v Zimbabwe,Harare,1,23*
Misbah-ul-Haq,v Scotland,Durban,1,23
Mohammad Hafeez,v Bangladesh,Cape Town,2,23
Shahzaib Hasan,v Ireland,The Oval,1,23
Kamran Akmal,v South Africa,Nottingham,1,23
Fawad Alam,v England,Dubai (DSC),1,23
Kamran Akmal,v Australia,Birmingham,1,23
Rameez Raja (2),v Zimbabwe,Harare,1,23
Mohammad Hafeez,v England,Dubai (DSC),1,23
Awais Zia,v England,Abu Dhabi,2,23
Umar Akmal,v New Zealand,Pallekele,1,23
Nasir Jamshed,v Zimbabwe,Harare,1,23
Rafatullah Mohmand,v England,Dubai (DSC),2,23
Shahid Afridi,v New Zealand,Auckland,1,23
Hasan Ali,v New Zealand,Wellington,1,23
Babar Azam,v South Africa,Centurion,1,23
Mohammad Rizwan,v Australia,Lahore,1,23
Abdullah Shafique,v Afghanistan,Sharjah,1,23
Umar Akmal,v Zimbabwe,Harare,1,22*
Kamran Akmal,v Bangladesh,Pallekele,2,22*
Shadab Khan,v South Africa,Centurion,1,22*
Shahid Afridi,v Scotland,Durban,1,22
Shahid Afridi,v New Zealand,Dubai (DSC),1,22
Abdul Razzaq,v England,Dubai (DSC),1,22
Shahid Afridi,v Sri Lanka,Abu Dhabi,2,22
Umar Akmal,v England,Abu Dhabi,2,22
Imran Nazir,v Australia,Dubai (DSC),2,22
Abdul Razzaq,v Australia,Colombo (RPS),1,22
Ahmed Shehzad,v India,Mirpur,1,22
Shahid Afridi,v Bangladesh,Mirpur,1,22
Umar Akmal,v India,Eden Gardens,1,22
Sharjeel Khan,v West Indies,Dubai (DSC),2,22
Kamran Akmal,v West Indies,Bridgetown,2,22
Ahmed Shehzad,v Sri Lanka,Abu Dhabi,2,22
Asif Ali,v Australia,Harare,1,22
Mohammad Rizwan,v New Zealand,Hamilton,1,22
Danish Aziz,v Zimbabwe,Harare,2,22
Babar Azam,v England,Leeds,2,22
